,tune
3354,"[('1', 'Cmaj7'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Em7'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Dm7b5'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
3355,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cm7'), ('1', 'F7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'Bbm7'), ('1', 'Em7')]"
3356,"[('1', 'Abmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Em7'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'G7')]"
3357,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cm7'), ('1', 'F7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'Bbm7'), ('1', 'Em7')]"
3358,"[('1', 'Abmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
3359,"[('4', 'Dbmmaj7'), ('4', 'Bm7'), ('4', 'A7'), ('4', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('4', 'Dm7'), ('4', 'Ebm7'), ('2', 'Em7'), ('2', 'A7b9'), ('1', 'Bm7b5'), ('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Dbdim7')]"
3360,"[('4', 'Dbmmaj7'), ('4', 'Bm7'), ('4', 'A7'), ('4', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('4', 'Dm7'), ('4', 'Ebm7'), ('2', 'Em7'), ('2', 'A7b9'), ('1', 'Bm7b5'), ('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Dbdim7')]"
3361,"[('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Bm7'), ('2', 'E7b13'), ('1', 'Am'), ('1', 'Am7'), ('2', 'Am7'), ('2', 'Ebm7b9'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'Abm7b9')]"
3362,"[('4', 'Dbmmaj7'), ('4', 'Bm7'), ('4', 'A7'), ('4', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('4', 'Dm7'), ('4', 'Ebm7'), ('2', 'Em7'), ('2', 'A7b9'), ('1', 'Bm7b5'), ('2', 'Dm7'), ('2', 'Abm7b9'), ('2', 'Cmaj7'), ('2', 'Bm7'), ('1', 'Cmaj7')]"
3363,"[('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Ebm7'), ('1', 'Dm7')]"
3364,"[('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Ebm7'), ('1', 'Dm7')]"
3365,"[('2', 'E6'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Gbm7'), ('2', 'B7'), ('1', 'E6'), ('2', 'Dm7'), ('2', 'Abm7')]"
3366,"[('1', 'Dbm6'), ('1', 'Dbm6'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Ebm7'), ('1', 'Dm7'), ('2', 'Dbm6'), ('2', 'A7b9'), ('2', 'Ebm7b9'), ('2', 'Abm7b9')]"
3367,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Fmaj7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Abm7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('1', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'D7'), ('1', 'Abm7'), ('1', 'Abm7')]"
3368,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Fmaj7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Abm7'), ('1', 'Abm7'), ('1', 'Em7b5'), ('1', 'A7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
3369,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7')]"
3370,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7')]"
3371,"[('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]"
3372,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7')]"
3373,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Gbm6/C'), ('1', 'Cmaj7'), ('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'G7')]"
3374,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Gbm7'), ('2', 'Abm7'), ('2', 'A7'), ('2', 'B7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7')]"
3375,"[('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
3376,"[('1', 'Am6'), ('1', 'Am6'), ('1', 'Adim7'), ('1', 'Adim7'), ('1', 'Gm7'), ('1', 'C7'), ('2', 'Fdim7'), ('2', 'Fmaj7'), ('1', 'Fmaj7')]"
3377,"[('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'A7b13'), ('1', 'D7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]"
3378,"[('1', 'Am6'), ('1', 'Am6'), ('1', 'Adim7'), ('1', 'Adim7'), ('1', 'Gm7'), ('1', 'C7'), ('2', 'Fdim7'), ('2', 'Fmaj7'), ('1', 'Fmaj7')]"
3379,"[('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Em7'), ('1', 'A7'), ('1', 'Dm7')]"
3380,[]
3381,"[('1', 'Am6'), ('1', 'Am6'), ('1', 'Adim7'), ('1', 'Adim7'), ('1', 'Gm7'), ('1', 'C7'), ('2', 'Fdim7'), ('2', 'Fmaj7'), ('1', 'Fmaj7')]"
3382,"[('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'A7b13'), ('1', 'D7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]"
3383,"[('1', 'Am6'), ('1', 'Am6'), ('1', 'Adim7'), ('1', 'Adim7'), ('1', 'Gm7'), ('1', 'C7'), ('2', 'Fdim7'), ('2', 'Fmaj7'), ('1', 'Fmaj7')]"
3384,"[('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Em7'), ('1', 'A7'), ('1', 'Dm7')]"
3385,"[('1', 'C6')]"
3386,"[('1', 'Amaj7'), ('1', 'Amaj7'), ('1', 'Gmaj7'), ('1', 'Gmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'Dbm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cm7'), ('1', 'B7#9'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7')]"
3387,"[('1', 'Amaj7'), ('1', 'Amaj7'), ('1', 'Gmaj7'), ('1', 'Gmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'Dbm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cm7'), ('1', 'B7#9'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7')]"
3388,"[('1', 'Cm7'), ('1', 'Bm7'), ('1', 'Ebmaj7'), ('1', 'Ebmaj7'), ('1', 'Bm7'), ('1', 'Am7#11'), ('1', 'Gbmaj7'), ('1', 'Gbmaj7'), ('1', 'Gbm7'), ('1', 'Am7'), ('1', 'Cm7'), ('1', 'Ebm7'), ('1', 'C6'), ('1', 'C6')]"
3389,"[('1', 'Dbm6'), ('1', 'Em7'), ('1', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Dbm6'), ('1', 'Em7'), ('1', 'Fmaj7'), ('2', 'Em7b5'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Dm7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('1', 'Am7'), ('2', 'Em7'), ('2', 'Em7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]"
3390,"[('1', 'Dbm6'), ('1', 'Em7'), ('1', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Dbm6'), ('1', 'Dbm7'), ('1', 'Gbm6'), ('2', 'Em7b5'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'Fm7'), ('1', 'Em7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'G7')]"
3391,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'E/C'), ('2', 'Edim7'), ('2', 'Dm6'), ('2', 'Bm/D'), ('2', 'Dm6'), ('2', 'Bm/D')]"
3392,"[('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
3393,"[('1', 'Em7b5'), ('1', 'Em7b5'), ('1', 'A7b9'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'Fm6'), ('2', 'G/C'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
3394,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('2', 'E/C'), ('2', 'Edim7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'C6'), ('1', 'C6')]"
3395,"[('2', 'Gb7'), ('2', 'B7'), ('2', 'E7'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Db7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Bm7'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Db7'), ('1', 'Dbm7'), ('1', 'B7')]"
3396,"[('2', 'Bm7'), ('2', 'A7'), ('2', 'Ab7'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'B7'), ('2', 'Bm7'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Db7'), ('1', 'Dbm7'), ('2', 'Bb7'), ('2', 'Eb7'), ('2', 'Ab7'), ('2', 'Db7')]"
3397,"[('2', 'Gb7'), ('2', 'B7'), ('2', 'E7'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Db7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Bm7'), ('2', 'A7'), ('2', 'Ebm7'), ('2', 'Db7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('1', 'Bm7')]"
3398,"[('4', 'Gbm7'), ('4', 'E7'), ('4', 'Eb7'), ('4', 'Ebm7'), ('4', 'Db7'), ('4', 'Dbm7'), ('4', 'B7'), ('4', 'Bb7'), ('4', 'Eb7'), ('4', 'Ebm7'), ('4', 'Db7'), ('4', 'Dbm7'), ('4', 'B7'), ('4', 'Bm7'), ('4', 'A7'), ('4', 'Ab7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7')]"
3399,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Em7b5'), ('1', 'A7'), ('1', 'D7'), ('1', 'Abm7')]"
3400,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Em7b5'), ('1', 'A7'), ('1', 'D7'), ('1', 'Abm7')]"
3401,"[('1', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7b9'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'Abm7')]"
3402,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Em7b5'), ('1', 'A7'), ('1', 'D7'), ('1', 'Abm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]"
3403,"[('2', 'Cmaj7'), ('2', 'Em7'), ('1', 'Em7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('4', 'Em7'), ('4', 'Am7'), ('2', 'G7#11')]"
3404,"[('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('2', 'Dbm'), ('2', 'Bm7'), ('2', 'Am7'), ('2', 'G7#11'), ('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('1', 'Dbm'), ('1', 'Dbm')]"
3405,"[('2', 'Bm7'), ('2', 'E7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Am7'), ('2', 'Db7'), ('2', 'Gb7'), ('2', 'Gbm7'), ('2', 'B7'), ('1', 'Bm7'), ('2', 'A7'), ('2', 'Am7'), ('1', 'G7')]"
3406,"[('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('2', 'Dbm'), ('2', 'Bm7'), ('2', 'Am7'), ('2', 'G7#11'), ('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('1', 'Dbm')]"
3407,"[('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('2', 'Dbm'), ('2', 'Bm7'), ('2', 'Am7'), ('2', 'G7#11'), ('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('1', 'Dbm'), ('1', 'Dbm')]"
3408,"[('2', 'Bm7'), ('2', 'E7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Am7'), ('2', 'Db7'), ('2', 'Gb7'), ('2', 'Gbm7'), ('2', 'B7'), ('1', 'Bm7'), ('2', 'A7'), ('2', 'Am7'), ('1', 'G7')]"
3409,"[('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('2', 'Dbm'), ('2', 'Bm7'), ('2', 'Am7'), ('2', 'G7#11'), ('4', 'Dbm'), ('4', 'E7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'G7#11'), ('1', 'Dbm')]"
3410,"[('1', 'Bmaj7'), ('2', 'Cdim7'), ('2', 'Bmaj7'), ('2', 'Cdim7'), ('2', 'Bmaj7'), ('1', 'Emaj7'), ('1', 'Bmaj7'), ('1', 'Dbm'), ('1', 'Em6'), ('1', 'Bmaj7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('2', 'Abm7'), ('2', 'Gmaj7#5'), ('2', 'Fm7b5'), ('2', 'Bbm7'), ('1', 'D/Eb'), ('1', 'Amaj7'), ('1', 'Ab9sus'), ('1', 'Ab/F'), ('2', 'Ab/C'), ('2', 'Ab9sus'), ('1', 'Ab9sus'), ('1', 'Amaj7#11/Ab'), ('1', 'Amaj7#11/Ab'), ('1', 'Bmaj7#11'), ('2', 'Bbm7'), ('2', 'Amaj7'), ('1', 'Ab7sus'), ('1', 'Ab7sus')]"
3411,"[('1', 'Gbm'), ('1', 'Gbm'), ('1', 'Dbm'), ('1', 'Dbm'), ('1', 'Abm7'), ('1', 'Abm7')]"
3412,"[('1', 'Gbm'), ('1', 'Gbm'), ('1', 'Dbm'), ('1', 'Dbm'), ('1', 'Abm7'), ('1', 'Abm7')]"
3413,"[('1', 'Dbm'), ('2', 'Dbm'), ('2', 'Gbm6'), ('2', 'Dbm'), ('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'B7'), ('1', 'Em'), ('2', 'Gbm7b5'), ('2', 'B7'), ('1', 'E'), ('2', 'Abm7'), ('2', 'Dbm7')]"
3414,"[('1', 'Gbm'), ('1', 'Gbm'), ('1', 'Dbm'), ('1', 'Dbm'), ('1', 'Abm7'), ('1', 'Abm7'), ('2', 'Dbm'), ('2', 'Bm7'), ('2', 'Dbm'), ('2', 'Dbm7')]"
3415,"[('2', 'Emaj7'), ('2', 'Ab7'), ('2', 'Dbm7'), ('2', 'B7'), ('1', 'Bm7'), ('2', 'Ebmaj7'), ('4', 'Ebm7'), ('4', 'Am7'), ('2', 'Dbmaj7'), ('2', 'F7/C'), ('2', 'Bbm7'), ('2', 'Am7'), ('1', 'G7'), ('1', 'Cmaj7')]"
3416,"[('2', 'Emaj7'), ('2', 'Ab7'), ('2', 'Dbm7'), ('2', 'B7'), ('1', 'Bm7'), ('2', 'Ebmaj7'), ('4', 'Ebm7'), ('4', 'Am7'), ('2', 'Dbmaj7'), ('2', 'F7/C'), ('2', 'Bbm7'), ('2', 'Am7'), ('1', 'G7'), ('1', 'Cmaj7')]"
3417,"[('1', 'Cm7b5'), ('1', 'F7b9'), ('1', 'Gbm7'), ('1', 'B7'), ('1', 'Emaj7'), ('1', 'Emaj7'), ('1', 'Fm7'), ('1', 'Bm7')]"
3418,"[('2', 'Emaj7'), ('2', 'Ab7'), ('2', 'Dbm7'), ('2', 'B7'), ('1', 'Bm7'), ('2', 'Ebmaj7'), ('4', 'Ebm7'), ('4', 'Am7'), ('2', 'Dbmaj7'), ('2', 'F7/C'), ('2', 'Bbm7'), ('2', 'Am7'), ('1', 'G7'), ('1', 'Cmaj7')]"
3419,"[('1', 'Gm7b5'), ('1', 'C7b9'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
3420,"[('1', 'Gm7b5'), ('1', 'C7b9'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
3421,"[('1', 'Cm7'), ('1', 'F7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'Am7'), ('1', 'Am7'), ('1', 'G7'), ('1', 'G7')]"
3422,"[('1', 'Gm7b5'), ('1', 'C7b9'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
3423,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('1', 'Dm7'), ('1', 'Abm7')]"
3424,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('1', 'Dm7'), ('1', 'Abm7')]"
3425,"[('2', 'Gbm7'), ('2', 'Gb7'), ('1', 'Gbm7'), ('2', 'Bb7'), ('2', 'B7'), ('1', 'Bb7'), ('2', 'Eb7'), ('2', 'E7'), ('1', 'Eb7'), ('1', 'Ab7'), ('1', 'Abm7')]"
3426,"[('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]"
3427,"[('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Cm7'), ('1', 'Gbm13')]"
3428,"[('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Cm7'), ('1', 'Gbm13')]"
3429,[]
3430,"[('1', 'Cm'), ('1', 'CmM7'), ('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Cm'), ('1', 'Am7'), ('1', 'Dm7b5'), ('1', 'G7#9'), ('1', 'Cm'), ('1', 'CmM7'), ('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
3431,"[('1', 'Cm'), ('2', 'Cm'), ('4', 'Bm7'), ('4', 'E7')]"
3432,"[('1', 'Bbm7'), ('1', 'Em13b9'), ('1', 'Abmaj7'), ('1', 'Gbm7b13'), ('1', 'Bbm7'), ('1', 'Em13b9'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Am7'), ('2', 'D13'), ('2', 'D7b13'), ('1', 'Gmaj7'), ('1', 'Gmaj7'), ('1', 'Dm7'), ('2', 'D13'), ('2', 'D7b13'), ('1', 'G9sus'), ('1', 'Dm7#11')]"
3433,[]
3434,"[('1', 'Cm'), ('1', 'CmM7'), ('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Cm'), ('1', 'Am7'), ('1', 'Dm7b5'), ('1', 'G7#9'), ('1', 'Cm'), ('1', 'CmM7'), ('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
3435,"[('1', 'Cm7'), ('1', 'Gbm13'), ('1', 'Cm7'), ('1', 'Gbm13')]"
3436,"[('1', 'Am9'), ('1', 'Am9'), ('1', 'Ebm9'), ('1', 'Ebm9'), ('1', 'Dm9'), ('1', 'Dm9'), ('1', 'Abm9'), ('1', 'Abm9')]"
3437,"[('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'E7'), ('2', 'Ebmaj7'), ('2', 'Fm7'), ('2', 'Gm7'), ('2', 'Abmaj7')]"
3438,"[('1', 'G7#11')]"
3439,"[('1', 'Am9'), ('1', 'Am9'), ('1', 'Ebm9'), ('1', 'Ebm9'), ('1', 'Dm9'), ('1', 'Dm9'), ('1', 'Abm9'), ('1', 'Abm9')]"
3440,"[('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'E7'), ('2', 'Ebmaj7'), ('2', 'Fm7'), ('2', 'Gm7'), ('2', 'Abmaj7')]"
3441,"[('1', 'G7#11'), ('1', 'C69'), ('1', 'Cmaj7#11')]"
3442,"[('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Dbm6'), ('2', 'Em7'), ('2', 'A7'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Abm7')]"
3443,"[('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Dbm6'), ('2', 'Em7'), ('2', 'A7'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Abm7')]"
3444,"[('1', 'Fmaj7'), ('1', 'Fmaj7'), ('2', 'Dbm6/E'), ('2', 'Dm7'), ('1', 'Dbm6'), ('1', 'D7'), ('1', 'D7'), ('1', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
3445,"[('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Dbm6'), ('2', 'Em7'), ('2', 'A7'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('1', 'Dbm6')]"
3446,"[('2', 'Dm7b5'), ('2', 'G13'), ('2', 'Cm'), ('2', 'C7#5'), ('2', 'Fm7'), ('2', 'Bb7b9'), ('2', 'Ebmaj7'), ('2', 'Cm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Gbmaj7'), ('2', 'Ebm7'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Bbmaj7'), ('2', 'Gm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dmaj7'), ('2', 'Bm7'), ('1', 'Em7'), ('2', 'DmM7b5'), ('2', 'Gm7'), ('1', 'Bm7'), ('2', 'Abm7b5'), ('2', 'Dm7#9#5'), ('2', 'Gbm7'), ('2', 'Gbm7'), ('2', 'Dmaj7'), ('2', 'Gbm7')]"
3447,"[('2', 'C7sus'), ('2', 'C13b9'), ('1', 'Fmaj7/C'), ('1', 'C7sus'), ('1', 'Fmaj7/C'), ('2', 'Bb7sus'), ('2', 'Bb13b9'), ('1', 'Ebmaj7/Bb'), ('2', 'Bb7sus'), ('2', 'Bb7'), ('2', 'Ebmaj7/Bb'), ('2', 'Eb13')]"
3448,"[('1', 'D7#5'), ('2', 'Gm7'), ('2', 'Dm7#11'), ('1', 'C7#5'), ('2', 'Fm7'), ('2', 'Cm7#11'), ('1', 'Bb7#5'), ('2', 'Ebm7'), ('2', 'Gm9'), ('2', 'Bmaj7'), ('2', 'Eb7b9'), ('1', 'Abm9'), ('2', 'Fm7b5'), ('2', 'Bb7#9#5'), ('2', 'Ebm7'), ('2', 'Gm7sus'), ('2', 'Bmaj7'), ('2', 'Bb7b9'), ('2', 'Ebmaj7'), ('2', 'A7#11'), ('2', 'Dm7b5'), ('2', 'G13'), ('1', 'Cm'), ('2', 'Cm7sus'), ('2', 'Cm13b9'), ('2', 'Em7'), ('2', 'A7')]"
